2022-05-06/09:55
UID        PID  PPID  C STIME TTY          TIME CMD
omar      5881  5542  0 ماي05 tty2  00:00:14 /usr/bin/gnome-software --gapplication-service
omar      6013  5698  0 ماي05 tty2  00:00:02 /usr/lib/ibus/ibus-engine-simple
omar      8060  5542  0 ماي05 tty2  00:00:01 update-notifier
omar     10485  5542  0 ماي05 tty2  00:00:00 /usr/lib/deja-dup/deja-dup-monitor
omar     31985 31976  0 08:50 pts/0    00:00:00 bash projet.sh -m
omar     32192 32184  0 09:09 pts/1    00:00:00 bash projet.sh -m
2022-05-06/10:28
              total       utilisé      libre     partagé tamp/cache   disponible
Mem:        4039880     1519452     1529524       20832      990904     2220000
Partition d'échange:      622036       57100      564936
Total:      4661916     1576552     2094460
2022-05-06/10:28
              total       utilisé      libre     partagé tamp/cache   disponible
Mem:        4039880     1519180     1529648       20828      991052     2220272
Partition d'échange:      622036       57100      564936
Total:      4661916     1576280     2094584
2022-05-06/10:32
              total       utilisé      libre     partagé tamp/cache   disponible
Mem:        4039880     1467864     1580768       20832      991248     2271584
Partition d'échange:      622036       57100      564936
Total:      4661916     1524964     2145704
2022-05-06/10:38
2022-05-06/10:43
2022-05-06/10:48
              total       utilisé      libre     partagé tamp/cache   disponible
Mem:        4039880     1470384     1574828       20832      994668     2269096
Partition d'échange:      622036       57100      564936
Total:      4661916     1527484     2139764
2022-05-06/10:48
UID        PID  PPID  C STIME TTY          TIME CMD
gdm        934   915  0 ماي05 tty1  00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm        962   934  0 ماي05 tty1  00:00:52 /usr/bin/gnome-shell
gdm       1141   962  0 ماي05 tty1  00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1400   962  0 ماي05 tty1  00:00:00 ibus-daemon --xim --panel disable
gdm       1403  1400  0 ماي05 tty1  00:00:00 /usr/lib/ibus/ibus-dconf
gdm       1407     1  0 ماي05 tty1  00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm       1428   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm       1434   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm       1436   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm       1439   934  0 ماي05 tty1  00:00:13 /usr/lib/gnome-settings-daemon/gsd-color
gdm       1441   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-datetime
